등록일시,대여건수
2019-12-04,"38,576"
2019-12-05,"29,277"
2019-12-06,"26,723"
2019-12-07,"23,013"
2019-12-08,"22,597"
2019-12-09,"34,140"
2019-12-10,"33,275"
2019-12-11,"34,049"
2019-12-12,"33,704"
2019-12-13,"34,258"
2019-12-14,"27,424"
2019-12-15,"29,692"
2019-12-16,"41,750"
2019-12-17,"25,644"
2019-12-18,"34,899"
2019-12-19,"32,972"
2019-12-20,"32,521"
2019-12-21,"20,302"
2019-12-22,"24,430"
2019-12-23,"29,028"
2019-12-24,"33,334"
2019-12-25,"22,428"
2019-12-26,"25,007"
2019-12-27,"29,243"
2019-12-28,"26,046"
2019-12-29,"18,701"
2019-12-30,"22,952"
2019-12-31,"18,436"
2019-07-05,"83,994"
2019-07-06,"70,246"
2019-07-07,"75,116"
2019-07-08,"93,609"
2019-07-09,"95,859"
2019-07-10,"43,842"
2019-07-11,"65,003"
2019-07-12,"94,473"
2019-07-13,"81,067"
2019-07-14,"74,259"
2019-07-15,"57,917"
2019-07-16,"82,285"
2019-07-17,"84,261"
2019-07-18,"81,613"
2019-07-19,"77,449"
2019-07-20,"56,648"
2019-07-21,"46,130"
2019-07-22,"82,781"
2019-07-23,"83,206"
2019-07-24,"59,020"
2019-07-25,"34,778"
2019-07-26,"22,789"
2019-07-27,"50,955"
2019-07-28,"23,342"
2019-07-29,"74,046"
2019-07-30,"69,757"
2019-07-31,"26,874"
2019-08-01,"59,803"
2019-08-02,"67,510"
2019-08-03,"49,047"
2019-08-04,"46,477"
2019-08-05,"65,085"
2019-08-06,"66,703"
2019-08-07,"50,804"
2019-08-08,"69,748"
2019-08-09,"67,491"
2019-08-10,"54,162"
2019-08-11,"43,351"
2019-08-12,"24,386"
2019-08-13,"63,749"
2019-08-14,"65,452"
2019-08-15,"32,229"
2019-08-16,"71,161"
2019-08-17,"72,259"
2019-08-18,"72,588"
2019-08-19,"81,832"
2019-08-20,"82,116"
2019-08-21,"56,957"
2019-08-22,"82,232"
2019-08-23,"86,624"
2019-08-24,"85,630"
2019-08-25,"81,028"
2019-08-26,"87,770"
2019-08-27,"83,107"
2019-08-28,"88,718"
2019-08-29,"65,708"
2019-08-30,"86,733"
2019-08-31,"90,724"
2019-09-01,"89,191"
2019-09-02,"92,510"
2019-09-03,"74,801"
2019-09-04,"27,168"
2019-09-05,"33,929"
2019-09-06,"16,631"
2019-09-08,"52,055"
2019-09-09,"68,370"
2019-09-10,"18,265"
2019-09-11,"75,328"
2019-09-12,"32,059"
2019-09-13,"57,065"
2019-09-14,"48,756"
2019-09-15,"82,678"
2019-09-16,"89,807"
2019-09-17,"92,153"
2019-09-18,"92,045"
2019-09-19,"91,554"
2019-09-20,"94,246"
2019-09-21,"86,676"
2019-09-22,"41,173"
2019-09-23,"92,006"
2019-09-24,"93,546"
2019-09-25,"92,665"
2019-09-26,"92,247"
2019-09-27,"93,345"
2019-09-28,"89,550"
2019-09-29,"86,133"
2019-09-30,"88,270"
2019-10-01,"88,575"
2019-10-02,"27,368"
2019-10-03,"75,438"
2019-10-04,"94,912"
2019-10-05,"83,020"
2019-10-06,"82,855"
2019-10-07,"21,875"
2019-10-08,"81,524"
2019-10-09,"85,638"
2019-10-10,"81,742"
2019-10-11,"92,155"
2019-10-12,"84,843"
2019-10-13,"84,368"
2019-10-14,"79,509"
2019-10-15,"85,516"
2019-10-16,"84,549"
2019-10-17,"85,596"
2019-10-18,"89,551"
2019-10-19,"87,553"
2019-10-20,"79,300"
2019-10-21,"84,488"
2019-10-22,"88,478"
2019-10-23,"87,991"
2019-10-24,"89,520"
2019-10-25,"84,617"
2019-10-26,"67,578"
2019-10-27,"65,774"
2019-10-28,"67,175"
2019-10-29,"71,135"
2019-10-30,"76,898"
2019-10-31,"76,860"
2019-11-01,"77,604"
2019-11-02,"68,223"
2019-11-03,"67,452"
2019-11-04,"78,874"
2019-11-05,"78,675"
2019-11-06,"74,812"
2019-11-07,"68,315"
2019-11-08,"65,110"
2019-11-09,"60,693"
2019-11-10,"40,503"
2019-11-11,"58,957"
2019-11-12,"68,210"
2019-11-13,"39,198"
2019-11-14,"45,095"
2019-11-15,"15,069"
2019-11-16,"45,493"
2019-11-17,"11,303"
2019-11-18,"37,496"
2019-11-19,"40,356"
2019-11-20,"42,026"
2019-11-21,"47,091"
2019-11-22,"56,700"
2019-11-23,"54,283"
2019-11-24,"24,304"
2019-11-25,"42,677"
2019-11-26,"52,464"
2019-11-27,"46,248"
2019-11-28,"46,983"
2019-11-29,"44,689"
2019-11-30,"38,366"
2020-01-01,"16,236"
2020-01-02,"28,890"
2020-01-03,"30,809"
2020-01-04,"25,709"
2020-01-05,"23,206"
2020-01-06,"15,381"
2020-01-07,"1,920"
2020-01-08,"21,522"
2020-01-09,"28,711"
2020-01-10,"29,395"
2020-01-11,"23,246"
2020-01-12,"19,842"
2020-01-13,"26,786"
2020-01-14,"28,435"
2020-01-15,"28,391"
2020-01-16,"29,026"
2020-01-17,"29,626"
2020-01-18,"24,635"
2020-01-19,"17,682"
2020-01-20,"28,611"
2020-01-21,"30,618"
2020-01-22,"33,011"
2020-01-23,"34,466"
2020-01-24,"19,230"
2020-01-25,"15,233"
2020-01-26,"22,685"
2020-01-27,"16,836"
2020-01-28,"32,098"
2020-01-29,"37,990"
2020-01-30,"38,079"
2020-01-31,"35,857"
2020-02-01,"27,151"
2020-02-02,"22,384"
2020-02-03,"29,681"
2020-02-04,"23,006"
2020-02-05,"20,311"
2020-02-06,"22,401"
2020-02-07,"26,540"
2020-02-08,"22,046"
2020-02-09,"21,099"
2020-02-10,"33,956"
2020-02-11,"40,563"
2020-02-12,"10,698"
2020-02-13,"34,375"
2020-02-14,"41,229"
2020-02-15,"29,837"
2020-02-16,"6,798"
2020-02-17,"13,777"
2020-02-18,"19,773"
2020-02-19,"32,721"
2020-02-20,"36,027"
2020-02-21,"29,779"
2020-02-22,"18,290"
2020-02-23,"25,159"
2020-02-24,"36,094"
2020-02-25,"15,939"
2020-02-26,"35,773"
2020-02-27,"38,526"
2020-02-28,"12,644"
2020-02-29,"35,697"
2020-03-01,"24,431"
2020-03-02,"36,641"
2020-03-03,"39,447"
2020-03-04,"31,269"
2020-03-05,"35,851"
2020-03-06,"40,897"
2020-03-07,"42,379"
2020-03-08,"54,245"
2020-03-09,"53,020"
2020-03-10,"10,606"
2020-03-11,"45,245"
2020-03-12,"50,094"
2020-03-13,"43,554"
2020-03-14,"42,569"
2020-03-15,"33,215"
2020-03-16,"42,441"
2020-03-17,"47,241"
2020-03-18,"62,119"
2020-03-19,"24,256"
2020-03-20,"53,839"
2020-03-21,"63,759"
2020-03-22,"64,436"
2020-03-23,"63,686"
2020-03-24,"69,998"
2020-03-25,"73,460"
2020-03-26,"47,633"
2020-03-27,"60,183"
2020-03-28,"64,677"
2020-03-29,"68,430"
2020-03-30,"69,293"
2020-03-31,"74,621"
2020-04-01,"70,258"
2020-04-02,"72,129"
2020-04-03,"74,856"
2020-04-04,"66,405"
2020-04-05,"64,111"
2020-04-06,"68,414"
2020-04-07,"73,685"
2020-04-08,"72,863"
2020-04-09,"73,382"
2020-04-10,"75,021"
2020-04-11,"75,637"
2020-04-12,"63,335"
2020-04-13,"77,604"
2020-04-14,"83,798"
2020-04-15,"89,789"
2020-04-16,"83,970"
2020-04-17,"35,656"
2020-04-18,"92,829"
2020-04-19,"29,375"
2020-04-20,"56,129"
2020-04-21,"58,746"
2020-04-22,"51,337"
2020-04-23,"64,765"
2020-04-24,"72,883"
2020-04-25,"78,419"
2020-04-26,"82,600"
2020-04-27,"77,149"
2020-04-28,"86,541"
2020-04-29,"88,827"
2020-04-30,"96,877"
2020-05-01,"93,249"
2020-05-02,"88,508"
2020-05-03,"89,287"
2020-05-04,"93,579"
2020-05-05,"88,219"
2020-05-06,"88,561"
2020-05-07,"90,645"
2020-05-08,"63,474"
2020-05-09,"7,600"
2020-05-10,"65,932"
2020-05-11,"76,042"
2020-05-12,"78,200"
2020-05-13,"89,183"
2020-05-14,"89,149"
2020-05-15,"13,782"
2020-05-16,"64,549"
2020-05-17,"89,449"
2020-05-18,"36,761"
2020-05-19,"55,556"
2020-05-20,"88,257"
2020-05-21,"93,930"
2020-05-22,"89,317"
2020-05-23,"101,256"
2020-05-24,"80,357"
2020-05-25,"92,531"
2020-05-26,"68,498"
2020-05-27,"101,949"
2020-05-28,"99,792"
2020-05-29,"103,999"
2020-05-30,"105,172"
2020-05-31,"93,547"
2019-04-01,37660
2019-04-02,42029
2019-04-03,43257
2019-04-04,45681
2019-04-05,45643
2019-04-06,25902
2019-04-07,55943
2019-04-08,52643
2019-04-09,24734
2019-04-10,26421
2019-04-11,51013
2019-04-12,55125
2019-04-13,57020
2019-04-14,28467
2019-04-15,55422
2019-04-16,60566
2019-04-17,62522
2019-04-18,50439
2019-04-19,60925
2019-04-20,51068
2019-04-21,53339
2019-04-22,63995
2019-04-23,58811
2019-04-24,55815
2019-04-25,22471
2019-04-26,26484
2019-04-27,65124
2019-04-28,56012
2019-04-29,63256
2019-04-30,70213
2019-05-01,76439
2019-05-02,72430
2019-05-03,73647
2019-05-04,66392
2019-05-05,66911
2019-05-06,74806
2019-05-07,70506
2019-05-08,70426
2019-05-09,71707
2019-05-10,74960
2019-05-11,76110
2019-05-12,73318
2019-05-13,68389
2019-05-14,78385
2019-05-15,76969
2019-05-16,75399
2019-05-17,79158
2019-05-18,79583
2019-05-19,12749
2019-05-20,72066
2019-05-21,80599
2019-05-22,80735
2019-05-23,78504
2019-05-24,77190
2019-05-25,75791
2019-05-26,74327
2019-05-27,30670
2019-05-28,83654
2019-05-29,83496
2019-05-30,73814
2019-05-31,83765
2018-01-01,4950
2018-01-02,7136
2018-01-03,7156
2018-01-04,7102
2018-01-05,7705
2018-01-06,5681
2018-01-07,5220
2018-01-08,6309
2018-01-09,5988
2018-01-10,4476
2018-01-11,4337
2018-01-12,4401
2018-01-13,3756
2018-01-14,4675
2018-01-15,6993
2018-01-16,7421
2018-01-17,6990
2018-01-18,7054
2018-01-19,8329
2018-01-20,6148
2018-01-21,5574
2018-01-22,4929
2018-01-23,4263
2018-01-24,3370
2018-01-25,3307
2018-01-26,3116
2018-01-27,2833
2018-01-28,3028
2018-01-29,4425
2018-01-30,3591
2018-01-31,4104
2018-02-01,5821
2018-02-02,6557
2018-02-03,3499
2018-02-04,2642
2018-02-05,4213
2018-02-06,4257
2018-02-07,5028
2018-02-08,6114
2018-02-09,6905
2018-02-10,4829
2018-02-11,3047
2018-02-12,5231
2018-02-13,6863
2018-02-14,7477
2018-02-15,3935
2018-02-16,3047
2018-02-17,3494
2018-02-18,5191
2018-02-19,8563
2018-02-20,8899
2018-02-21,8342
2018-02-22,8580
2018-02-23,6408
2018-02-24,7198
2018-02-25,7595
2018-02-26,10712
2018-02-27,10064
2018-02-28,4230
2018-03-01,5761
2018-03-02,9388
2018-03-03,16029
2018-03-04,5373
2018-03-05,9943
2018-03-06,14028
2018-03-07,12925
2018-03-08,8812
2018-03-09,13573
2018-03-10,13324
2018-03-11,15136
2018-03-12,15913
2018-03-13,19514
2018-03-14,24911
2018-03-15,7091
2018-03-16,18415
2018-03-17,20165
2018-03-18,11740
2018-03-19,10297
2018-03-20,13205
2018-03-21,8225
2018-03-22,16420
2018-03-23,17904
2018-03-24,14914
2018-03-25,13942
2018-03-26,15505
2018-03-27,17456
2018-03-28,21232
2018-03-29,21436
2018-03-30,24411
2018-03-31,25673
2018-04-01,22994
2018-04-02,28139
2018-04-03,26817
2018-04-04,26034
2018-04-05,2833
2018-04-06,13297
2018-04-07,13088
2018-04-08,7758
2018-04-09,23925
2018-04-10,20423
2018-04-11,25557
2018-04-12,28885
2018-04-13,29497
2018-04-14,8216
2018-04-15,12721
2018-04-16,29589
2018-04-17,28236
2018-04-18,23499
2018-04-19,20400
2018-04-20,28351
2018-04-21,33144
2018-04-22,8095
2018-04-23,1037
2018-04-24,24560
2018-04-25,33728
2018-04-26,32547
2018-04-27,32989
2018-04-28,33738
2018-04-29,35159
2018-04-30,32629
2018-05-01,34593
2018-05-02,8374
2018-05-03,25963
2018-05-04,34058
2018-05-05,37389
2018-05-06,19809
2018-05-07,40026
2018-05-08,33738
2018-05-09,37851
2018-05-10,36549
2018-05-11,33923
2018-05-12,3551
2018-05-13,35668
2018-05-14,35918
2018-05-15,36476
2018-05-16,7072
2018-05-17,3802
2018-05-18,19629
2018-05-19,43471
2018-05-20,39036
2018-05-21,42039
2018-05-22,17444
2018-05-23,35975
2018-05-24,36858
2018-05-25,37569
2018-05-26,37761
2018-05-27,39534
2018-05-28,40775
2018-05-29,29925
2018-05-30,39214
2018-05-31,41619
2018-06-01,41970
2018-06-02,41677
2018-06-03,40565
2018-06-04,44014
2018-06-05,44118
2018-06-06,40440
2018-06-07,42038
2018-06-08,46516
2018-06-09,32839
2018-06-10,39277
2018-06-11,30605
2018-06-12,46201
2018-06-13,49116
2018-06-14,30511
2018-06-15,45103
2018-06-16,46457
2018-06-17,43484
2018-06-18,36316
2018-06-19,47296
2018-06-20,46612
2018-06-21,47762
2018-06-22,47478
2018-06-23,45663
2018-06-24,39548
2018-06-25,46565
2018-06-26,6391
2018-06-27,41128
2018-06-28,27757
2018-06-29,42765
2018-06-30,26911
2018-07-01,4358
2018-07-02,6261
2018-07-03,41350
2018-07-04,45741
2018-07-05,39804
2018-07-06,49521
2018-07-07,48015
2018-07-08,48132
2018-07-09,8155
2018-07-10,27956
2018-07-11,35390
2018-07-12,43611
2018-07-13,44976
2018-07-14,39205
2018-07-15,34957
2018-07-16,40964
2018-07-17,43323
2018-07-18,42609
2018-07-19,42316
2018-07-20,40337
2018-07-21,32360
2018-07-22,28250
2018-07-23,38003
2018-07-24,37486
2018-07-25,39225
2018-07-26,37796
2018-07-27,34985
2018-07-28,24649
2018-07-29,28317
2018-07-30,36701
2018-07-31,35262
2018-08-01,31169
2018-08-02,31321
2018-08-03,31646
2018-08-04,28174
2018-08-05,26989
2018-08-06,29113
2018-08-07,36983
2018-08-08,37140
2018-08-09,32216
2018-08-10,36178
2018-08-11,31293
2018-08-12,27363
2018-08-13,36076
2018-08-14,37659
2018-08-15,29270
2018-08-16,41358
2018-08-17,47634
2018-08-18,45629
2018-08-19,42281
2018-08-20,44243
2018-08-21,41964
2018-08-22,42425
2018-08-23,23616
2018-08-24,17319
2018-08-25,47109
2018-08-26,32200
2018-08-27,23382
2018-08-28,13495
2018-08-29,13001
2018-08-30,33158
2018-08-31,46101
2018-09-01,43847
2018-09-02,48427
2018-09-03,16086
2018-09-04,50500
2018-09-05,53984
2018-09-06,46532
2018-09-07,53230
2018-09-08,55470
2018-09-09,54213
2018-09-10,55188
2018-09-11,56212
2018-09-12,57363
2018-09-13,55791
2018-09-14,49383
2018-09-15,44808
2018-09-16,24317
2018-09-17,55335
2018-09-18,57691
2018-09-19,44096
2018-09-20,23616
2018-09-21,32242
2018-09-22,49688
2018-09-23,38635
2018-09-24,36406
2018-09-25,49595
2018-09-26,57730
2018-09-27,58200
2018-09-28,59649
2018-09-29,63866
2018-09-30,55893
2018-10-01,51808
2018-10-02,57280
2018-10-03,64671
2018-10-04,59413
2018-10-05,7772
2018-10-06,32510
2018-10-07,57873
2018-10-08,57247
2018-10-09,61525
2018-10-10,44876
2018-10-11,44489
2018-10-12,48529
2018-10-13,49203
2018-10-14,49025
2018-10-15,49503
2018-10-16,51236
2018-10-17,49795
2018-10-18,49560
2018-10-19,52122
2018-10-20,49815
2018-10-21,48346
2018-10-22,49889
2018-10-23,40223
2018-10-24,50343
2018-10-25,52181
2018-10-26,24308
2018-10-27,33699
2018-10-28,20882
2018-10-29,36107
2018-10-30,37382
2018-10-31,39009
2018-11-01,41911
2018-11-02,44917
2018-11-03,40640
2018-11-04,39973
2018-11-05,43870
2018-11-06,39680
2018-11-07,29492
2018-11-08,2730
2018-11-09,34673
2018-11-10,34194
2018-11-11,23926
2018-11-12,38706
2018-11-13,40263
2018-11-14,41973
2018-11-15,39702
2018-11-16,37629
2018-11-17,28167
2018-11-18,26464
2018-11-19,34352
2018-11-20,34855
2018-11-21,28140
2018-11-22,29239
2018-11-23,28620
2018-11-24,11255
2018-11-25,19946
2018-11-26,30698
2018-11-27,28806
2018-11-28,29177
2018-11-29,28977
2018-11-30,28557
2018-12-01,24622
2018-12-02,23035
2018-12-03,10638
2018-12-04,20029
2018-12-05,23535
2018-12-06,23788
2018-12-07,15148
2018-12-08,9824
2018-12-09,8749
2018-12-10,17987
2018-12-11,20805
2018-12-12,19339
2018-12-13,11765
2018-12-14,14932
2018-12-15,12720
2018-12-16,10783
2018-12-17,17449
2018-12-18,20917
2018-12-19,21970
2018-12-20,22881
2018-12-21,23422
2018-12-22,17127
2018-12-23,13601
2018-12-24,16579
2018-12-25,12437
2018-12-26,17112
2018-12-27,11325
2018-12-28,10445
2018-12-29,8083
2018-12-30,7864
2018-12-31,11911
2019-01-01,8601
2019-01-02,14360
2019-01-03,16344
2019-01-04,17308
2019-01-05,12380
2019-01-06,11094
2019-01-07,16795
2019-01-08,15833
2019-01-09,15819
2019-01-10,17894
2019-01-11,19271
2019-01-12,14519
2019-01-13,11751
2019-01-14,14818
2019-01-15,14761
2019-01-16,15823
2019-01-17,17960
2019-01-18,18901
2019-01-19,14883
2019-01-20,11191
2019-01-21,17240
2019-01-22,19885
2019-01-23,19163
2019-01-24,20057
2019-01-25,18159
2019-01-26,13203
2019-01-27,12440
2019-01-28,17317
2019-01-29,19477
2019-01-30,20677
2019-01-31,17649
2019-02-01,17696
2019-02-02,13742
2019-02-03,2010
2019-02-04,8562
2019-02-05,9119
2019-02-06,13694
2019-02-07,14533
2019-02-08,14782
2019-02-09,11760
2019-02-10,9759
2019-02-11,16881
2019-02-12,18862
2019-02-13,18411
2019-02-14,19376
2019-02-15,9213
2019-02-16,12641
2019-02-17,13390
2019-02-18,19916
2019-02-19,11689
2019-02-20,19572
2019-02-21,20995
2019-02-22,21727
2019-02-23,23742
2019-02-24,21933
2019-02-25,23445
2019-02-26,28010
2019-02-27,28652
2019-02-28,27431
2019-03-01,21751
2019-03-02,22503
2019-03-03,24382
2019-03-04,26887
2019-03-05,24042
2019-03-06,25379
2019-03-07,31156
2019-03-08,33073
2019-03-09,32421
2019-03-10,31050
2019-03-11,28539
2019-03-12,25537
